UTC;command
2025-05-27 20:30:48.805871+00:00;0
2025-05-27 20:31:48.990101+00:00;0
2025-05-27 20:32:51.249523+00:00;0
2025-05-27 20:33:53.432681+00:00;-2
2025-05-27 20:34:55.585183+00:00;0
2025-05-27 20:35:57.910915+00:00;-2
2025-05-27 20:37:00.151494+00:00;-1
2025-05-27 20:38:02.432480+00:00;-1
2025-05-27 20:39:04.739584+00:00;-1
2025-05-27 20:40:06.966193+00:00;-1
2025-05-27 20:41:09.254575+00:00;0
2025-05-27 20:42:11.412043+00:00;0
2025-05-27 20:43:13.746200+00:00;-1
2025-05-27 20:44:15.957249+00:00;0
2025-05-27 20:45:18.268538+00:00;0
2025-05-27 20:46:20.476790+00:00;0
2025-05-27 20:47:22.695803+00:00;-1
2025-05-27 20:48:24.980689+00:00;-1
2025-05-27 20:49:27.174892+00:00;-1
2025-05-28 06:01:01.253763+00:00;0
2025-05-28 06:02:03.270107+00:00;0
2025-05-28 06:03:05.291723+00:00;0
2025-05-28 06:04:07.578830+00:00;0
2025-05-28 06:05:09.930103+00:00;0
2025-05-28 06:06:12.302026+00:00;0
2025-05-28 06:07:14.501456+00:00;0
2025-05-28 06:08:16.559482+00:00;0
2025-05-28 06:09:18.564989+00:00;0
2025-05-28 06:10:20.666390+00:00;0
2025-05-28 06:11:22.649286+00:00;0
2025-05-28 06:12:24.615878+00:00;0
2025-05-28 06:13:26.736509+00:00;0
2025-05-28 06:14:28.775082+00:00;0
2025-05-28 06:15:30.836310+00:00;0
2025-05-28 06:16:32.836353+00:00;0
2025-05-28 06:17:34.877845+00:00;0
2025-05-28 06:18:36.935815+00:00;0
2025-05-28 06:19:38.979502+00:00;0
2025-05-28 06:20:41.002661+00:00;0
2025-05-28 06:21:43.155946+00:00;0
2025-05-28 06:22:45.145487+00:00;0
2025-05-28 06:23:47.146855+00:00;0
2025-05-28 06:24:49.304585+00:00;0
2025-05-28 06:25:51.346187+00:00;0
2025-05-28 06:26:53.369368+00:00;0
2025-05-28 06:27:55.463973+00:00;0
2025-05-28 06:28:57.465792+00:00;0
2025-05-28 06:29:59.635830+00:00;0
2025-05-28 06:31:01.554479+00:00;0
2025-05-28 06:32:08.697706+00:00;2
2025-05-28 06:32:08.697706+00:00;2
2025-05-28 06:33:10.728045+00:00;1
2025-05-28 06:34:12.689992+00:00;1
2025-05-28 06:35:14.700046+00:00;1
2025-05-28 06:36:16.787756+00:00;2
2025-05-28 06:37:18.792462+00:00;2
2025-05-28 06:38:20.933510+00:00;1
2025-05-28 06:39:22.897340+00:00;1
2025-05-28 06:40:24.834983+00:00;1
2025-05-28 06:41:26.915948+00:00;1
2025-05-28 06:42:28.904479+00:00;1
2025-05-28 06:43:30.928608+00:00;1
2025-05-28 06:44:33.057328+00:00;1
2025-05-28 06:45:35.043819+00:00;1
2025-05-28 06:46:37.078316+00:00;1
2025-05-28 06:47:39.154444+00:00;1
2025-05-28 06:48:41.085820+00:00;1
2025-05-28 06:49:43.171006+00:00;1
2025-05-28 06:50:45.185306+00:00;1
2025-05-28 06:51:47.135318+00:00;1
2025-05-28 06:52:49.274677+00:00;2
2025-05-28 06:53:56.408697+00:00;0
2025-05-28 06:53:56.408697+00:00;0
2025-05-28 06:54:58.382149+00:00;0
2025-05-28 06:56:05.665903+00:00;2
2025-05-28 06:56:05.665903+00:00;2
2025-05-28 06:57:07.681250+00:00;1
2025-05-28 06:58:09.659325+00:00;2
2025-05-28 06:59:11.745460+00:00;1
2025-05-28 07:00:13.743523+00:00;1
2025-05-28 07:01:15.737368+00:00;1
2025-05-28 07:02:17.767852+00:00;1
2025-05-28 07:03:19.731740+00:00;1
2025-05-28 07:04:21.826652+00:00;1
2025-05-28 07:05:23.853213+00:00;1
2025-05-28 07:06:30.985195+00:00;0
2025-05-28 07:06:30.985195+00:00;0
2025-05-28 07:07:38.340262+00:00;2
2025-05-28 07:07:38.340262+00:00;2
2025-05-28 07:08:40.340643+00:00;1
2025-05-28 07:09:42.323895+00:00;1
